company, location,jop_title
Pro Dev Tech  -,"Cairo, Egypt ",Full Time
"IAP Worldwide Services, Inc -","Doha, Qatar ",Full Time
"IAP Worldwide Services, Inc -","Doha, Qatar ",Full Time
Volta Plus -,"6th of October, Giza, Egypt ",Full Time
TEMPO -,"New Cairo, Cairo, Egypt ",Full TimeFreelance / Project
Gulf Business Machines PND -,"Dubai, United Arab Emirates ",Full Time
Gulf Business Machines PND -,"Dubai, United Arab Emirates ",Full Time
IST Networks -,"Maadi, Cairo, Egypt ",Full Time
DAF Holding -,"Cairo, Egypt ",Full Time
Horizon Chemical for Special Chemicals  -,"Stanley, Alexandria, Egypt ",Full Time
Appen Limited -,"Dubai, United Arab Emirates ",Full Time
Agolo Egypt -,"Cairo, Egypt ",Full Time
AK IT Consulting -,"Nasr City, Cairo, Egypt ",Full Time
LINK Development -,"Cairo, Egypt ",Full Time
Confidential -,"Giza, Giza, Egypt ",Full Time
